first_name,last_name,title,format,link,save
 Jona,Franco,Innovatieve biotechnologie voor de duurzame behandeling van koolstof en stikstof in de dunne mestfractie,"; 2014, Thesis Bio-engineering",/sites/default/files/userfiles/u1501/ThesisJonaFranco.pdf,ThesisJonaFranco.pdf
 Ilse,Forrez,ALTERNATIVE MICROBIAL TECHNOLOGIES FOR MICROPOLLUTANT REMOVAL FROM SECONDARY WASTEWATER EFFLUENT,", 2010, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/ilseforrezthesis.pdf,ilseforrezthesis.pdf
 Jelke,Geryl,robieel gestudeerde organische substraten voor de glastuinbouw. Gevallenstudie: tomatenteelt,", 2013, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/thesis_jelke_geryl.pdf,thesis_jelke_geryl.pdf
 David,Geysen,Energie- en nutrintenrecuperatie uit aquacultuur door anaerobe vergisting en bio-elektrochemische systemen,", 2011, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Geysen%20David%20-%20juni2011%20-%20Energie-%20en%20nutrientenrecuperatie%20uit%20aquacultuur%20door%20anaerobe%20vergisting%20en%20bio-elektrochemische%20systemen.pdf,Geysen%20David%20-%20juni2011%20-%20Energie-%20en%20nutrientenrecuperatie%20uit%20aquacultuur%20door%20anaerobe%20vergisting%20en%20bio-elektrochemische%20systemen.pdf
 Sylvia,Gildemyn,Valorisatie van bio-raffinage afvalstromen door middel van elektrochemisch gestuurde anaerobe vergisting,", 2012, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/thesis_sylvia_gildemyn.pdf,thesis_sylvia_gildemyn.pdf
 Margot,Goossens,Butyraatproductie door de mucosale darmbacterin in een vernieuwend,in vitro,http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/thesis_margot_goossen.pdf,thesis_margot_goossen.pdf
 Dorien,Gorteman,Activiteit en evolutie van methanotrofe gemeenschappen onder hoge ammoniumconcentraties,", 2012, Thesis Bio-engineer",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/gorteman_dorien.pdf,gorteman_dorien.pdf
 Charlotte,Grootaert,In vitro effects of the intestinal microbiota and their prebiotic modulation on parameters regulating fat metabolism,", 2011, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/phd_charlotte_grootaert.pdf,phd_charlotte_grootaert.pdf
 Stefanie,Hamelink,Groei en toxineproductie van de voedselpathogeen,Bacillus cereus,http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/hamelink_stefanie.pdf,hamelink_stefanie.pdf
 Frederik,Hammes,Frontpage,-,http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Frontpage.pdf,Frontpage.pdf
 Kim,Heylen,Study of the genetic basis of denitrification in pure culture denitriers isolated from activated sludge and soil,", 2007, Phd thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_kim_heylen.pdf,Phd_kim_heylen.pdf
 Tom,Hennebel,Green synthesis and environmental applications of biogenic palladium nanoparticles,", 2010, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/PhDrevisedversion2.pdf,PhDrevisedversion2.pdf
 Prawira Partogi Hasian,Hutapea,The effect of deodorant on the bacterial community of the armpit,", 2012, Thesis M.Sc Environmental Sanitation",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/hutapea_thesis_120824_final.pdf,hutapea_thesis_120824_final.pdf
 Laura,Jaspaert,De rol van micro-organismen in orale mucositis ten gevolge van radiotherapie,", 2011, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Jaspaert%20Laura%20-%20sept2011%20-%20De%20rol%20van%20micro-organismen%20in%20orale%20mucositis%20ten%20gevolge%20van%20radiotherapie.pdf,Jaspaert%20Laura%20-%20sept2011%20-%20De%20rol%20van%20micro-organismen%20in%20orale%20mucositis%20ten%20gevolge%20van%20radiotherapie.pdf
 Wim,Kegels,Het stabiliserend vermogen van sulfaat reducerende bacterin in anaerobe vergisting,", 2014, Thesis Bio-Engineering",/sites/default/files/userfiles/u1501/Wim%20Kegels_Masterproef_Indienen.pdf,Wim%20Kegels_Masterproef_Indienen.pdf
 David,Laureys,Microbieel vetmetabolisme in het humane colon en het effect van vetten op de humane colonmicrobiota,", 2011, Thesis Bio-engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Thesis_David_Laureys_final%20version.pdf,Thesis_David_Laureys_final%20version.pdf
 Henri,Le Clef,Vrijstelling van het anti-oxidant ferulinezuur uit arabinoxylaan oligosacchariden (AXOS) door intestinale micro-organismen,", 2009, thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Thesis_henrileclef.pdf,Thesis_henrileclef.pdf
