,code_name,full_name,first_name,second_name,abbreviated_name,locations,location_number
832,749518.3,Enterococcus faecalis TX2134,Enterococcus,faecalis,Enterococcus faecalis,cheese;gut;feces;water;sausage;meat;milk;yogurt;blood;biofilm;sea;air;river;sludge;fruit;soil;marsh;chicken;bacon;sediment;silage,21
833,259536.4,Psychrobacter sp. 273-4,Psychrobacter,sp.,Psychrobacter sp.,soil;sea;air;ocean;lake;beef;sediment;river;dust;chicken;water;brine;jeotgal;faeces;rock;permafrost,16
834,32049.15,Synechococcus sp. PCC 7002,Synechococcus,sp.,Synechococcus sp.,surface;waste;water;spring,4
835,931281.3,Pseudomonas putida BIRD-1,Pseudomonas,putida,Pseudomonas putida,sea;soil;air;sludge;plateau;cave;lake;rhizosphere;river;water;gut;sewage;wetland;field;sediment;well;wwtp;ocean;stream;sandstone;biofilm;straw;glacier;mine;permafrost;fruit;spring;grassland;piggery;oil;mucus;aquifer;grove;spinach;harbor;waste;reservoir;lagoon;surface;beef;channel;rock;compost;pond;canal;cabbage;wash;elevation;wood;flat;beer;milk;sand;mud;egg;farm;garden;hole,58
836,478007.5,Escherichia coli O157:H7 str. EC508,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13
837,749502.3,Enterococcus faecalis TX0109,Enterococcus,faecalis,Enterococcus faecalis,cheese;gut;feces;water;sausage;meat;milk;yogurt;blood;biofilm;sea;air;river;sludge;fruit;soil;marsh;chicken;bacon;sediment;silage,21
838,216595.1,Pseudomonas fluorescens SBW25,Pseudomonas,fluorescens,Pseudomonas fluorescens,sea;soil;air;sludge;plateau;cave;lake;rhizosphere;river;water;gut;sewage;wetland;field;sediment;well;wwtp;ocean;stream;sandstone;biofilm;straw;glacier;mine;permafrost;fruit;spring;grassland;piggery;oil;mucus;aquifer;grove;spinach;harbor;waste;reservoir;lagoon;surface;beef;channel;rock;compost;pond;canal;cabbage;wash;elevation;wood;flat;beer;milk;sand;mud;egg;farm;garden;hole,58
839,404589.4,Anaeromyxobacter sp. Fw109-5,Anaeromyxobacter,sp.,Anaeromyxobacter sp.,harbor;soil;garden,3
840,216595.4,Pseudomonas fluorescens SBW25,Pseudomonas,fluorescens,Pseudomonas fluorescens,sea;soil;air;sludge;plateau;cave;lake;rhizosphere;river;water;gut;sewage;wetland;field;sediment;well;wwtp;ocean;stream;sandstone;biofilm;straw;glacier;mine;permafrost;fruit;spring;grassland;piggery;oil;mucus;aquifer;grove;spinach;harbor;waste;reservoir;lagoon;surface;beef;channel;rock;compost;pond;canal;cabbage;wash;elevation;wood;flat;beer;milk;sand;mud;egg;farm;garden;hole,58
841,300852.9,Thermus thermophilus HB8,Thermus,thermophilus,Thermus thermophilus,spring;compost;hotspring;soil;surface;ocean;water;field,8
842,300852.3,Thermus thermophilus HB8,Thermus,thermophilus,Thermus thermophilus,spring;compost;hotspring;soil;surface;ocean;water;field,8
843,635013.3,Thermincola sp. JR,Thermincola,sp.,Thermincola sp.,harbor,1
844,518766.7,Rhodothermus marinus DSM 4252,Rhodothermus,marinus,Rhodothermus marinus,ocean;water,2
845,518766.5,Rhodothermus marinus DSM 4252,Rhodothermus,marinus,Rhodothermus marinus,ocean;water,2
846,297246.3,Legionella pneumophila str. Paris,Legionella,pneumophila,Legionella pneumophila,water;well;soil;surface;biofilm,5
847,314271.5,Rhodobacterales bacterium HTCC2654,Rhodobacterales,bacterium,Rhodobacterales bacterium,spring;silage,2
848,314271.3,Rhodobacterales bacterium HTCC2654,Rhodobacterales,bacterium,Rhodobacterales bacterium,spring;silage,2
849,314315.12,Lactobacillus sakei subsp. sakei 23K,Lactobacillus,sakei,Lactobacillus sakei,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25
850,592014.3,Acinetobacter sp. 6013113,Acinetobacter,sp.,Acinetobacter sp.,soil;mucus;lake;sediment;surface;gut;river;sludge;rhizosphere;field;sea;waste;volcano;ocean;water;wetland;air;biofilm;mine;mouth;aquifer;milk;beer;sewage;elevation;harbor;stream;blood,28
851,470145.6,Bacteroides coprocola DSM 17136,Bacteroides,coprocola,Bacteroides coprocola,faeces;feces;leachate;waste;soil;sludge;bioreactor;cave,8
852,525369.4,Proteus mirabilis ATCC 29906,Proteus,mirabilis,Proteus mirabilis,soil;sea,2
853,391596.3,Pedobacter sp. BAL39,Pedobacter,sp.,Pedobacter sp.,soil;rivulet;sea;glacier;sediment;dust;forest;mountain;rhizosphere;milk;wetland;wwtp;field;pond;water;plateau,16
854,237727.3,Erythrobacter sp. NAP1,Erythrobacter,sp.,Erythrobacter sp.,biofilm;spring;sea;sediment;lake;soil,6
855,443906.9,Clavibacter michiganensis subsp. michiganensis NCPPB 382,Clavibacter,michiganensis,Clavibacter michiganensis,plateau;lake;ocean;soil;dust,5
856,586220.3,Leuconostoc mesenteroides subsp. cremoris ATCC 19254,Leuconostoc,mesenteroides,Leuconostoc mesenteroides,water;cheese;milk;fruit;must;food;farm,7
857,416870.7,Lactococcus lactis subsp. cremoris MG1363,Lactococcus,lactis,Lactococcus lactis,milk;biofilm;food;air;mucus;gut;cheese;meat;marsh;foam,10
858,416870.9,Lactococcus lactis subsp. cremoris MG1363,Lactococcus,lactis,Lactococcus lactis,milk;biofilm;food;air;mucus;gut;cheese;meat;marsh;foam,10
859,565662.4,Enterococcus faecium Com12,Enterococcus,faecium,Enterococcus faecium,cheese;gut;feces;water;sausage;meat;milk;yogurt;blood;biofilm;sea;air;river;sludge;fruit;soil;marsh;chicken;bacon;sediment;silage,21
860,401650.3,Listeria monocytogenes Aureli 1997,Listeria,monocytogenes,Listeria monocytogenes,milk;sludge;water;soil;run,5
861,155864.8,Escherichia coli O157:H7 EDL933,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13
862,380394.4,Acidithiobacillus ferrooxidans ATCC 53993,Acidithiobacillus,ferrooxidans,Acidithiobacillus ferrooxidans,mine;waste;spring;ocean,4
863,155864.1,Escherichia coli O157:H7 EDL933,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13
864,167546.3,Prochlorococcus marinus str. MIT 9301,Prochlorococcus,marinus,Prochlorococcus marinus,sea,1
865,167546.4,Prochlorococcus marinus str. MIT 9301,Prochlorococcus,marinus,Prochlorococcus marinus,sea,1
866,593586.3,Vibrio cholerae TM 11079-80,Vibrio,cholerae,Vibrio cholerae,sea;blood;river;water;soil;shellfish;sediment;rhizosphere;gut;rock;ocean;mucus;egg;clam;fish;estuary;biofilm;oyster,18
867,405955.9,Escherichia coli APEC O1,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13
868,406560.5,Streptococcus pneumoniae SP14-BS69,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16
869,406560.4,Streptococcus pneumoniae SP14-BS69,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16
870,323850.3,Shewanella sp. PV-4,Shewanella,sp.,Shewanella sp.,rhizosphere;sea;rock;flat;sediment;harbor;river;beef;waste;ocean;egg;gut;water;sludge;forest;fish;oil,17
871,267409.5,Listeria monocytogenes str. 1/2a F6854,Listeria,monocytogenes,Listeria monocytogenes,milk;sludge;water;soil;run,5
872,314285.3,gamma proteobacterium KT 71,gamma,proteobacterium,gamma proteobacterium,gut;basin;soil;trench;sediment;water;sea;seamount;biofilm;lake;aquifer;spring;river;harbor;mine;sludge;surface;lagoon;forest;ridge;rock;waste;bed;tundra;cave;bay;canyon;pond;egg;permafrost;estuary;compost;mucus;pasture;field;biofilter,36
873,457393.3,Bacteroides sp. 4_1_36,Bacteroides,sp.,Bacteroides sp.,faeces;feces;leachate;waste;soil;sludge;bioreactor;cave,8
874,289380.14,Clostridium perfringens SM101,Clostridium,perfringens,Clostridium perfringens,soil;feces;sludge;bog;field;spring;water;dung;lake;dairy;gut;silage;waste;leachate;blood;bioreactor;straw;bile;sediment;food;river;flat;compost;reservoir;mud;meat;sand;mine;hotspring;faeces,30
875,289380.15,Clostridium perfringens SM101,Clostridium,perfringens,Clostridium perfringens,soil;feces;sludge;bog;field;spring;water;dung;lake;dairy;gut;silage;waste;leachate;blood;bioreactor;straw;bile;sediment;food;river;flat;compost;reservoir;mud;meat;sand;mine;hotspring;faeces,30
876,444452.5,Escherichia coli O157:H7 str. EC4113,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13
877,685038.3,Escherichia coli O83:H1 str. NRG 857C,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13
878,629742.3,Staphylococcus hominis SK119,Staphylococcus,hominis,Staphylococcus hominis,sewage;air;biofilm;soil;marsh;sea;egg;gut;ocean;bacon;beef;dust;rhizosphere;water;volcano;elevation;wetland;farm;sugar;compost;waste;surface;sludge;textile;sediment;river;cabbage;stream;hospital;landfill;milk;feces;mine;lake;sausage,35
879,351348.5,Marinobacter hydrocarbonoclasticus aquaeolei VT8,Marinobacter,hydrocarbonoclasticus,Marinobacter hydrocarbonoclasticus,water;pond;soil;sediment;sea;brine;basin;ocean;volcano;rhizosphere;ridge;coast;biofilm;surface;seamount;river;flat;lake;sludge;hotspring,20
880,469008.4,Escherichia coli BL21(DE3),Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13
881,316058.11,Rhodopseudomonas palustris HaA2,Rhodopseudomonas,palustris,Rhodopseudomonas palustris,biofilm;waste;soil;lake;air;sludge;water,7
