code_name,full_name,first_name,second_name,abbreviated_name,locations,location_number,file_name
89187.3,Roseovarius nubinhibens ISM,Roseovarius,nubinhibens,Roseovarius nubinhibens,ocean;sea;sediment;oyster;mud,5,89187.3.txt
525366.3,Lactobacillus vaginalis ATCC 49540,Lactobacillus,vaginalis,Lactobacillus vaginalis,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25,525366.3.txt
331978.4,Burkholderia pseudomallei Pasteur 52237,Burkholderia,pseudomallei,Burkholderia pseudomallei,rhizosphere;soil;permafrost;forest;gut;river;wood;bog;woodland;lake;water;air;rock;sludge;field;biofilm;mine;tannery;sewage;biofilter;compost;blood;pasture;waste;surface,25,331978.4.txt
331978.3,Burkholderia pseudomallei Pasteur,Burkholderia,pseudomallei,Burkholderia pseudomallei,rhizosphere;soil;permafrost;forest;gut;river;wood;bog;woodland;lake;water;air;rock;sludge;field;biofilm;mine;tannery;sewage;biofilter;compost;blood;pasture;waste;surface,25,331978.3.txt
515621.3,Clostridium botulinum Ba4 str. 657,Clostridium,botulinum,Clostridium botulinum,soil;feces;sludge;bog;field;spring;water;dung;lake;dairy;gut;silage;waste;leachate;blood;bioreactor;straw;bile;sediment;food;river;flat;compost;reservoir;mud;meat;sand;mine;hotspring;faeces,30,515621.3.txt
387344.13,Lactobacillus brevis ATCC 367,Lactobacillus,brevis,Lactobacillus brevis,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25,387344.13.txt
387344.15,Lactobacillus brevis ATCC 367,Lactobacillus,brevis,Lactobacillus brevis,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25,387344.15.txt
546262.4,Neisseria cinerea ATCC 14685,Neisseria,cinerea,Neisseria cinerea,water;biofilm;air;mouth,4,546262.4.txt
331109.3,Burkholderia pseudomallei 1655,Burkholderia,pseudomallei,Burkholderia pseudomallei,rhizosphere;soil;permafrost;forest;gut;river;wood;bog;woodland;lake;water;air;rock;sludge;field;biofilm;mine;tannery;sewage;biofilter;compost;blood;pasture;waste;surface,25,331109.3.txt
344601.5,Escherichia coli B171,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,344601.5.txt
344601.3,Escherichia coli B171,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,344601.3.txt
469593.3,Bacteroides sp. 3_1_40A,Bacteroides,sp.,Bacteroides sp.,faeces;feces;leachate;waste;soil;sludge;bioreactor;cave,8,469593.3.txt
265311.5,Mesoplasma florum L1,Mesoplasma,florum,Mesoplasma florum,gut,1,265311.5.txt
265311.3,Mesoplasma florum L1,Mesoplasma,florum,Mesoplasma florum,gut,1,265311.3.txt
888801.3,Lactobacillus iners ATCC 55195,Lactobacillus,iners,Lactobacillus iners,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25,888801.3.txt
665571.4,Spirochaeta thermophila DSM 6192,Spirochaeta,thermophila,Spirochaeta thermophila,gut;mine;sediment;lake;field;sea,6,665571.4.txt
498848.5,Thermus aquaticus Y51MC23,Thermus,aquaticus,Thermus aquaticus,spring;compost;hotspring;soil;surface;ocean;water;field,8,498848.5.txt
272564.6,Desulfitobacterium hafniense DCB-2,Desulfitobacterium,hafniense,Desulfitobacterium hafniense,mine;soil,2,272564.6.txt
754093.3,Shigella dysenteriae 1617,Shigella,dysenteriae,Shigella dysenteriae,gut;soil;river;reservoir;marsh,5,754093.3.txt
272564.4,Desulfitobacterium hafniense DCB-2,Desulfitobacterium,hafniense,Desulfitobacterium hafniense,mine;soil,2,272564.4.txt
684738.3,Lactococcus lactis subsp. lactis KF147,Lactococcus,lactis,Lactococcus lactis,milk;biofilm;food;air;mucus;gut;cheese;meat;marsh;foam,10,684738.3.txt
331111.12,Escherichia coli E24377A,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,331111.12.txt
374927.4,Haemophilus influenzae 22.1-21,Haemophilus,influenzae,Haemophilus influenzae,mouth;air,2,374927.4.txt
205922.5,Pseudomonas fluorescens Pf0-1,Pseudomonas,fluorescens,Pseudomonas fluorescens,sea;soil;air;sludge;plateau;cave;lake;rhizosphere;river;water;gut;sewage;wetland;field;sediment;well;wwtp;ocean;stream;sandstone;biofilm;straw;glacier;mine;permafrost;fruit;spring;grassland;piggery;oil;mucus;aquifer;grove;spinach;harbor;waste;reservoir;lagoon;surface;beef;channel;rock;compost;pond;canal;cabbage;wash;elevation;wood;flat;beer;milk;sand;mud;egg;farm;garden;hole,58,205922.5.txt
198466.1,Streptococcus pyogenes MGAS315,Streptococcus,pyogenes,Streptococcus pyogenes,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,198466.1.txt
198466.3,Streptococcus pyogenes MGAS315,Streptococcus,pyogenes,Streptococcus pyogenes,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,198466.3.txt
748671.3,Lactobacillus crispatus ST1,Lactobacillus,crispatus,Lactobacillus crispatus,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25,748671.3.txt
223926.6,Vibrio parahaemolyticus RIMD 2210633,Vibrio,parahaemolyticus,Vibrio parahaemolyticus,sea;blood;river;water;soil;shellfish;sediment;rhizosphere;gut;rock;ocean;mucus;egg;clam;fish;estuary;biofilm;oyster,18,223926.6.txt
223926.1,Vibrio parahaemolyticus RIMD 2210633,Vibrio,parahaemolyticus,Vibrio parahaemolyticus,sea;blood;river;water;soil;shellfish;sediment;rhizosphere;gut;rock;ocean;mucus;egg;clam;fish;estuary;biofilm;oyster,18,223926.1.txt
520454.3,Brucella abortus bv. 6 str. 870,Brucella,abortus,Brucella abortus,sludge;soil,2,520454.3.txt
862964.3,Haemophilus influenzae 10810,Haemophilus,influenzae,Haemophilus influenzae,mouth;air,2,862964.3.txt
50743.3,unidentified eubacterium SCB49,unidentified,eubacterium,unidentified eubacterium,sludge;lake;gut;spring;trench;ocean;water;bed;soil;sea,10,50743.3.txt
495036.3,Geobacillus sp. G11MC16,Geobacillus,sp.,Geobacillus sp.,soil;spring;milk;field;ocean;hotspring;oil;compost;sea;sediment;sugar;lake,12,495036.3.txt
423368.6,Salmonella enterica subsp. enterica serovar Newport str. SL254,Salmonella,enterica,Salmonella enterica,rhizosphere,1,423368.6.txt
423368.8,Salmonella enterica subsp. enterica serovar Newport str. SL254,Salmonella,enterica,Salmonella enterica,rhizosphere,1,423368.8.txt
471821.5,uncultured Termite group 1 bacterium phylotype Rs-D17,uncultured,Termite,uncultured Termite,gut;soil;pasture;spring;water;feces;surface;sea;forest;rhizosphere;flat;lake;prairie;river;dust;sediment;aquifer;turkey;biofilm;ocean;sludge;mountain;lagoon;basin;field;seamount;canyon;pond;canal;cave;oil;aquarium;aerosol;landfill;rock;mine;tundra;ridge;trench;compost;waste;harbor;bioreactor;marsh;air;mucus;well;oyster;leachate;bed;stream;fen;brewery;borehole;upwelling;wwtp;glacier;reservoir;chemocline;cropland;wetland;brine;mud;plateau;volcano;bog;chicken;building;clay;mound;biofilter;peatland;dairy;trough;sand;reef;foam;vinegar;tannery;milk;sewage;silage;bay;hole;food;permafrost;straw;cheese;egg;grassland;blood;bone;dolomite;travertine;ditch;estuary;faeces;beach;mouth;bank;fish;steppe;shelf;coastline;garden;fjord,106,471821.5.txt
160490.1,Streptococcus pyogenes M1 GAS,Streptococcus,pyogenes,Streptococcus pyogenes,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,160490.1.txt
290402.34,Clostridium beijerincki beijerinckii NCIMB 8052,Clostridium,beijerincki,Clostridium beijerincki,soil;feces;sludge;bog;field;spring;water;dung;lake;dairy;gut;silage;waste;leachate;blood;bioreactor;straw;bile;sediment;food;river;flat;compost;reservoir;mud;meat;sand;mine;hotspring;faeces,30,290402.34.txt
269798.12,Cytophaga hutchinsonii ATCC 33406,Cytophaga,hutchinsonii,Cytophaga hutchinsonii,ridge;sediment;sea;soil;trench;seamount;harbor;marsh;lake;water;brine,11,269798.12.txt
269798.16,Cytophaga hutchinsonii ATCC 33406,Cytophaga,hutchinsonii,Cytophaga hutchinsonii,ridge;sediment;sea;soil;trench;seamount;harbor;marsh;lake;water;brine,11,269798.16.txt
656379.3,Escherichia coli FVEC1302,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,656379.3.txt
373153.27,Streptococcus pneumoniae D39,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,373153.27.txt
520460.3,Brucella ceti M13/05/1,Brucella,ceti,Brucella ceti,sludge;soil,2,520460.3.txt
243261.3,Burkholderia sp. Ch1-1,Burkholderia,sp.,Burkholderia sp.,rhizosphere;soil;permafrost;forest;gut;river;wood;bog;woodland;lake;water;air;rock;sludge;field;biofilm;mine;tannery;sewage;biofilter;compost;blood;pasture;waste;surface,25,243261.3.txt
373153.25,Streptococcus pneumonia pneumoniae D39,Streptococcus,pneumonia,Streptococcus pneumonia,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,373153.25.txt
374931.9,Haemophilus influenzae PittGG,Haemophilus,influenzae,Haemophilus influenzae,mouth;air,2,374931.9.txt
525283.3,Fusobacterium nucleatum subsp. nucleatum ATCC 23726,Fusobacterium,nucleatum,Fusobacterium nucleatum,mouth;blood;air;sediment;volcano,5,525283.3.txt
